"url","uniqueUsers","pageViewsTotal","totalEngagementTime","averageScroll","averageDurationPerUser","averageRFV","cumulativeRFV","totalDuration","averageDurationPerPage","averageEngagementTimePerUser","averageEngagementTimePerPage","pageViewsPerUser","discoverImpressions","googleNewsImpressions","searchImpressions","searchPosition","searchClicks","searchCTR","discoverClicks","discoverCTR","googleNewsPosition","googleNewsClicks","googleNewsCTR","searchClicksPerArticle","searchImpressionsPerArticle","discoverClicksPerArticle","discoverImpressionsPerArticle","googleNewsClicksPerArticle","googleNewsImpressionsPerArticle"
"https://www.hotnewhiphop.com/952232-air-jordan-11-285-sneaker-news-2","69884","77312","1855375.48","70.74","70.51","4.13","319108.62","4927757.25","63.74","26.55","24","1.11","1192935","1554","8617","8.18","95","1.1","71647","6.01","6.77","88","5.66","95","8617","71647","1192935","88","1554"
"https://www.hotnewhiphop.com/943487-air-jordan-3-orange-citrus-sneaker-news","64287","72371","1406780.49","57.78","73.81","2.8","202400.03","4745258.76","65.57","21.88","19.44","1.13","1307040","343","11183","15.52","87","0.78","73085","5.59","12.78","8","2.33","87","11183","73085","1307040","8","343"
"https://www.hotnewhiphop.com/931210-air-jordan-4-pizza-sneaker-news-2","64109","75754","1686684.26","45.78","90.76","3.31","250919.85","5818276.41","76.8","26.31","22.27","1.18","1706161","1047","162496","16.34","1822","1.12","71223","4.17","18.85","24","2.29","1822","162496","71223","1706161","24","1047"
"https://www.hotnewhiphop.com/959367-trae-young-air-jordan-3-sneaker-news","61549","68809","1601519.84","74.43","72.26","4.72","325034.45","4447387.62","64.63","26.02","23.27","1.12","831738","3736","10552","16.19","192","1.82","62168","7.47","10.88","135","3.61","192","10552","62168","831738","135","3736"
"https://www.hotnewhiphop.com/940283-air-jordan-11-gamma-blue-sneaker-news-6","57676","65529","1437803.77","48.11","86.64","3.56","233008.85","4997089.8","76.26","24.93","21.94","1.14","1142779","453","14345","49.45","248","1.73","65967","5.77","18.92","29","6.4","248","14345","65967","1142779","29","453"
"https://www.hotnewhiphop.com/944837-air-jordan-11-gamma-sneaker-news-4","43687","49239","1031669.93","50.48","78.81","3.41","167979.84","3443071.43","69.93","23.62","20.95","1.13","1310361","362","15923","8.43","1338","8.4","52215","3.98","13.13","19","5.25","1338","15923","52215","1310361","19","362"
"https://www.hotnewhiphop.com/936209-nike-sb-x-air-jordan-4-navy-sneaker-news-14","36698","43349","779755.5","46.71","78.97","4.56","197845.2","2898037.97","66.85","21.25","17.99","1.18","748277","878","8752","63.34","58","0.66","39162","5.23","13.01","24","2.73","58","8752","39162","748277","24","878"
"https://www.hotnewhiphop.com/947506-air-jordan-13-flint-sneaker-news-2","35624","40245","1042796.19","58.38","90.73","3.06","123171.81","3232166.04","80.31","29.27","25.91","1.13","969629","533","4701","18.82","27","0.57","38313","3.95","11.3","12","2.25","27","4701","38313","969629","12","533"
"https://www.hotnewhiphop.com/904602-air-jordan-6-premio-bin-23-sneaker-news-2","32114","35999","903722.21","68.33","73.87","3.18","114522.65","2372267.94","65.9","28.14","25.1","1.12","336392","25","4675","43.71","97","2.07","29831","8.87","15.52","0","0","97","4675","29831","336392","0","25"
"https://www.hotnewhiphop.com/946774-travis-scott-x-fragment-x-air-jordan-1-low-og-sneaker-news-11","31842","37433","730429.94","57.12","80.96","3.4","127240.49","2578063.88","68.87","22.94","19.51","1.18","466768","4497","139349","5.95","10745","7.71","21658","4.64","6.44","492","10.94","10745","139349","21658","466768","492","4497"
"https://www.hotnewhiphop.com/939392-air-jordan-4-black-cat-sneaker-news-8","30900","34677","748125.31","51.1","81.82","4.53","156918.09","2528111.7","72.9","24.21","21.57","1.12","682730","1075","28852","23.21","156","0.54","34262","5.02","11.34","71","6.6","156","28852","34262","682730","71","1075"
"https://www.hotnewhiphop.com/953446-young-thug-sp5der-adidas-collaboration-sneaker-news-2","29293","33172","831003.14","67","81.4","5.64","186969.53","2384506.73","71.88","28.37","25.05","1.13","669379","1207","16180","7.56","237","1.46","31542","4.71","10.07","43","3.56","237","16180","31542","669379","43","1207"
