"url","publishDate","uniqueUsers","pageViewsTotal","totalEngagementTime","totalDuration","discoverImpressions","googleNewsImpressions","searchImpressions","searchClicks","discoverClicks","googleNewsClicks","searchClicksPerArticle","searchImpressionsPerArticle","discoverClicksPerArticle","googleNewsClicksPerArticle","googleNewsImpressionsPerArticle","averageScroll","averageDurationPerUser","averageRFV","cumulativeRFV","averageDurationPerPage","averageEngagementTimePerUser","averageEngagementTimePerPage","pageViewsPerUser","searchPosition","searchCTR","discoverCTR","googleNewsPosition","googleNewsCTR"
"https://www.hotnewhiphop.com/903311-nike-air-foamposite-one-cough-drop-sneaker-news-2",2025-04-17,954,1046,21605.77,69634.06,14541,0,855,4,886,0,4,855,886,0,0,50.00125,71.7225,3.34625,1210.63,65.03,22.815,20.66125,1.10375,31.65625,0.5025,5.10375,0,0
"https://www.hotnewhiphop.com/903323-air-jordan-1-high-og-unc-reimagined-sneaker-news-13",2025-04-17,189,204,3617.47,11759.89,1113,0,10449,12,33,0,12,10449,33,0,0,47.54375,33.0525,5.7325,1025.22,30.82125,15.945,14.9325,1.075,33.10125,0.2625,1.22125,0,0
"https://www.hotnewhiphop.com/903333-air-jordan-4-cave-stone-sneaker-news-5",2025-04-17,1748,1886,34115.69,119868.57,19354,0,9116,21,1363,0,21,9116,1363,0,0,46.09125,59.9325,5.605,4752.56,55.765,17.73375,16.18,1.09125,29.27125,0.0975,5.995,0,0
"https://www.hotnewhiphop.com/903337-air-jordan-4-forget-me-not-sneaker-news-3",2025-04-17,3310,3623,79848.34,238241.9,63678,0,2189,9,3456,0,9,2189,3456,0,0,48.22875,76.78375,3.945,2992.45,70.1025,23.22625,21.22125,1.095,42.4225,0.25,5.6775,0,0
"https://www.hotnewhiphop.com/903685-air-jordan-4-og-white-cement-sneaker-news-9",2025-04-19,522,553,13881.54,44512.25,5146,0,6667,30,298,0,30,6667,298,0,0,54.95375,66.62875,4.11625,1814.56,64.0425,21.5775,20.66875,1.035,14.14375,0.21375,5.48625,0,0
"https://www.hotnewhiphop.com/903691-air-jordan-4-rm-military-black-sneaker-news",2025-04-19,240,264,4815.83,15056.31,3137,0,1230,2,157,0,2,1230,157,0,0,49.7875,68.12125,6.3275,517.28,64.605,17.285,15.63875,1.10125,62.0125,0.27875,5.1525,0,0
"https://www.hotnewhiphop.com/903755-air-jordan-5-low-peanut-butter-jelly-sneaker-news-2",2025-04-19,1330,1416,31909.44,77756.66,41447,0,1890,15,1457,0,15,1890,1457,0,0,56.3475,56.60625,4.1975,1499.32,53.30625,25.76375,24.31875,1.06125,34.0275,0.5575,3.425,0,0
"https://www.hotnewhiphop.com/903763-teyana-taylor-x-air-jordan-3-a-rose-from-harlem-sneaker-news",2025-04-19,3086,3319,78244.08,223738.63,42317,0,8908,83,2958,0,83,8908,2958,0,0,59.02125,69.1025,5.305,3623.54,64.5975,25.40375,23.69125,1.07125,20.43625,0.77375,7.21125,0,0
"https://www.hotnewhiphop.com/903770-air-jordan-7-rm-bred-sneaker-news",2025-04-19,1538,1654,36421.09,91162.59,36971,0,2445,16,1626,0,16,2445,1626,0,0,56.81125,60.77875,4.67375,2316.27,56.03,24.485,22.5775,1.0825,39.86,0.445,4.52875,0,0
"https://www.hotnewhiphop.com/903797-undefeated-x-air-jordan-4-sneaker-news-6",2025-04-19,576,658,14501.82,59030.73,7677,0,5349,73,286,0,73,5349,286,0,0,55.14125,94.78875,6.3525,1935.26,84.08375,25.57125,22.9675,1.11875,40.26625,1.145,3.18125,0,0
"https://www.hotnewhiphop.com/903802-air-jordan-11-grand-finale-sneaker-news-3",2025-04-19,362,389,7555.98,27097.64,13799,0,5546,15,195,0,15,5546,195,0,0,55.8475,119.78125,7.9525,2370.99,116.98625,19.94,19.05875,1.0425,45.49375,0.20375,1.525,0,0
"https://www.hotnewhiphop.com/904067-air-jordan-mvp-92-black-wolf-grey-sneaker-news",2025-04-20,140,154,3361.6,10054.37,12,0,1793,12,0,0,12,1793,0,0,0,43.75625,39.41875,13.15625,1536.26,36.91625,18.94625,18.1175,1.0325,55.37625,0.6775,0,0,0
"https://www.hotnewhiphop.com/904075-air-jordan-14-golf-last-shot-sneaker-news-2",2025-04-20,455,496,9558.69,29878.71,5826,0,2297,11,239,0,11,2297,239,0,0,59.4275,53.045,7.15375,2357.67,50.53125,20.53,19.5425,1.0525,38.4625,0.35125,3.99125,0,0
"https://www.hotnewhiphop.com/904113-infinite-archives-x-air-jordan-17-low-chicago-sneaker-news",2025-04-21,436,471,10999.46,28064.06,4442,0,950,36,208,0,36,950,208,0,0,61.6575,48.56,7.07625,3230.99,45.595,21.54125,20.23125,1.0625,38.6775,2.96875,4.56375,0,0
"https://www.hotnewhiphop.com/904124-air-jordan-4-houston-cougars-pe-sneaker-news-2",2025-04-21,125,140,2534.92,6380.08,786,0,319,6,29,0,6,319,29,0,0,40.6675,45.67625,8.7475,1560.98,39.7125,16.27375,14.4075,1.015,25.72625,0.87125,1.8625,0,0
"https://www.hotnewhiphop.com/904131-air-jordan-14-mustang-pe-pack-sneaker-news",2025-04-21,1496,1603,42389.55,134314.42,13009,0,7808,111,880,0,111,7808,880,0,0,61.8325,74.83375,6.44125,6219.89,67.71875,29.6825,27.0475,1.09875,33.045,1.23125,8.01625,0,0
"https://www.hotnewhiphop.com/904145-air-jordan-11-low-igloo-sneaker-news",2025-04-21,1477,1547,25533.97,69118.51,28631,0,7381,52,1546,0,52,7381,1546,0,0,49.83375,38.5025,4.47875,4196.17,36.4875,17.14,16.2325,1.05125,32.8925,0.23625,4.17875,0,0
"https://www.hotnewhiphop.com/904369-hyperice-x-nike-hyperboot-sneaker-news",2025-04-21,415,444,11494.84,34685.64,969,0,2079,47,33,0,47,2079,33,0,0,51.40875,54.34875,8.70875,4246.06,52.09625,21.225,20.49375,0.90375,53.9,0.94625,2.335,0,0
"https://www.hotnewhiphop.com/904377-air-jordan-1-low-denim-worn-blue-sneaker-news",2025-04-21,199,214,3376.42,14651.47,4721,0,2220,0,165,0,0,2220,165,0,0,44.7575,38.7275,8.9375,1326.88,36.18875,15.26625,14.24125,1.06,39.5475,0,3.33625,0,0
"https://www.hotnewhiphop.com/904385-jordan-trunner-lx-luminous-green-sneaker-news",2025-04-21,177,194,4073.7,15377.4,153,0,289,4,11,0,4,289,11,0,0,54.52875,47.21375,9.42875,2335.14,41.39,20.365,17.21375,1.18375,37.96375,0.90875,4.09375,0,0
"https://www.hotnewhiphop.com/904394-air-jordan-4-rm-black-orange-sneaker-news",2025-04-21,444,482,8102.95,26718.93,17502,0,3123,1,445,0,1,3123,445,0,0,47.2975,58.7475,7.22875,1533.43,54.6375,20.30125,18.935,1.0775,58.95875,0.40375,2.17625,0,0
"https://www.hotnewhiphop.com/904401-air-jordan-1-high-85-sp-bred-sneaker-news",2025-04-21,436,468,11014.48,35861.76,2037,0,3340,3,143,0,3,3340,143,0,0,51.41625,72.56875,8.925,5062.89,69.38625,24.96,23.93375,1.045,48.06625,0.06625,5.3,0,0
"https://www.hotnewhiphop.com/904408-air-jordan-3-og-rare-air-sneaker-news-4",2025-04-21,5463,5936,134333.34,414657.82,111749,0,3915,19,5457,0,19,3915,5457,0,0,57.55625,66.71375,2.49875,14527.69,61.08125,22.5725,20.6525,0.95625,51.77125,0.2525,3.85125,0,0
"https://www.hotnewhiphop.com/904413-air-jordan-4-unc-pe-sneaker-news-2",2025-04-22,2133,2348,51540.79,159240.76,29058,0,5449,22,1840,0,22,5449,1840,0,0,48.95875,60.495,4.17,8662.36,52.6625,22.0675,19.15,1.155,50.02875,12.72625,5.5275,0,0
"https://www.hotnewhiphop.com/904598-air-jordan-10-hydrangeas-sneaker-news",2025-04-22,779,861,13632.71,43781.44,8855,0,1341,2,497,0,2,1341,497,0,0,48.9075,53.03125,8.44125,2972.58,47.61125,17.6725,15.9825,1.10375,27.65125,0.095,5.72375,0,0
"https://www.hotnewhiphop.com/904602-air-jordan-6-premio-bin-23-sneaker-news-2",2025-04-22,32314,35640,895961.76,2345514.84,336392,0,4087,95,29831,0,95,4087,29831,0,0,63.36,80.84875,6.4575,63201.12,71.13375,24.8525,22.03875,1.1325,47.59875,1.27875,8.47375,0,0
"https://www.hotnewhiphop.com/904608-air-jordan-1-low-og-football-grey-sneaker-news",2025-04-22,267,285,5310.99,12307.67,6157,0,5991,0,234,0,0,5991,234,0,0,54.04875,31.9525,7.5475,1944.78,30.435,18.2925,17.57125,1.0375,55.6575,0,4.15875,0,0
"https://www.hotnewhiphop.com/904612-pharrell-williams-x-adidas-adizero-adios-pro-evo-1-earth-sneaker-news",2025-04-22,567,613,11945.99,38097.15,4151,0,2004,5,218,0,5,2004,218,0,0,49.86875,73.25625,9.22375,6751.78,62.625,23.42875,20.145,1.13875,48.67625,0.19,3.295,0,0
"https://www.hotnewhiphop.com/904617-air-jordan-1-low-easyon-shattered-backboard-sneaker-news",2025-04-22,1316,1394,28001.73,72292.33,26311,0,1683,1,1571,0,1,1683,1571,0,0,48.97375,44.99375,8.595,4414.21,41.5925,20.41375,18.96375,1.07875,49.87,0.03875,4.525,0,0
"https://www.hotnewhiphop.com/904631-air-jordan-8-aqua-sneaker-news-4",2025-04-23,1982,2129,48153.64,164461.56,15486,0,1352,10,1752,0,10,1352,1752,0,0,42.2875,53.75875,10.7625,7917.46,49.1125,18.50875,16.7925,1.11625,49.8675,0.6325,6.01375,0,0
"https://www.hotnewhiphop.com/904639-air-jordan-1-high-85-bred-sneaker-news-8",2025-04-23,258,279,7138.85,21423.2,1728,0,873,2,83,0,2,873,83,0,0,47.1275,44.8825,8.24875,3462.07,40.87,20.84875,18.975,0.97375,13.83625,0.04875,6.33375,0,0
"https://www.hotnewhiphop.com/904643-air-jordan-3-jordan-brand-classic-pe-sneaker-news",2025-04-23,2545,2735,57010.52,168988.34,41208,0,3589,3,2477,0,3,3589,2477,0,0,61.43875,72.24125,5.7625,7753.03,67.9125,23.08875,21.71125,1.0625,51.5675,0.06875,6.08125,0,0
"https://www.hotnewhiphop.com/904647-travis-scott-x-jordan-jumpman-jack-bright-cactus-sneaker-news-2",2025-04-23,540,575,11311.27,46154.88,47,0,3963,39,2,0,39,3963,2,0,0,46.3,57.4875,7.46,10431.53,53.9925,17.11,16.16625,1.05375,49.40875,0.6425,0.80625,0,0
"https://www.hotnewhiphop.com/904764-nike-nocta-glide-black-iron-grey-sneaker-news",2025-04-23,461,521,9355.05,49416.78,702,0,1313,9,32,0,9,1313,32,0,0,56.73625,92.63875,15.63875,6408.57,78.18875,22.465,18.495,1.19625,44.9475,0.465,1.78,0,0
"https://www.hotnewhiphop.com/904953-travis-scott-x-jordan-jumpman-jack-bright-cactus-sneaker-news-3",2025-04-24,250,276,5723.1,30919.97,980,0,3786,9,65,0,9,3786,65,0,0,52.5257142857143,190.5,9.56,3324.61,174.75,25.1028571428571,22.9214285714286,1.10571428571429,61.2742857142857,0.221428571428571,3.02714285714286,0,0
"https://www.hotnewhiphop.com/904960-air-jordan-1-mid-barons-sneaker-news",2025-04-24,416,472,10434.33,22075.95,10434,0,3382,0,404,0,0,3382,404,0,0,56.8485714285714,49.61,8.77428571428571,1817.92,43.9757142857143,23.4385714285714,20.6114285714286,1.13,64.7442857142857,0,3.62571428571429,0,0
"https://www.hotnewhiphop.com/905306-fragment-x-union-la-x-air-jordan-1-high-og-sneaker-news",2025-04-24,354,374,6240.9,15242.23,2019,0,3192,3,97,0,3,3192,97,0,0,51.8128571428571,38.64,11.3085714285714,3267.08,36.0585714285714,18.37,17.0485714285714,1.08285714285714,44.34,0.0657142857142857,4.28,0,0
"https://www.hotnewhiphop.com/905315-air-jordan-1-mid-rare-air-sneaker-news",2025-04-24,2331,2539,52820.19,150668.39,49828,0,7371,3,2641,0,3,7371,2641,0,0,50.7771428571429,56.8657142857143,8.52428571428571,7073.21,51.5414285714286,20.9628571428571,18.9471428571429,1.10857142857143,61.3914285714286,0.0314285714285714,5.15142857142857,0,0
"https://www.hotnewhiphop.com/905322-jordan-cmft-era-panda-sneaker-news",2025-04-24,659,712,14787.82,42511.55,10449,0,869,6,496,0,6,869,496,0,0,48.06,58.5971428571429,12.6714285714286,3697.88,52.9514285714286,19.8142857142857,18.0814285714286,1.12142857142857,51.7614285714286,0.51,4.63142857142857,0,0
"https://www.hotnewhiphop.com/905385-air-jordan-4-rm-neutral-olive-sneaker-news",2025-04-25,563,610,10238.11,27000.37,24201,0,18636,58,552,0,58,18636,552,0,0,42.6516666666667,53.0266666666667,4.885,2111.84,49.2333333333333,17.8166666666667,16.5783333333333,1.07333333333333,31.4816666666667,0.35,2.14666666666667,0,0
"https://www.hotnewhiphop.com/905405-air-jordan-13-low-dongdan-sneaker-news",2025-04-25,970,1027,26723.94,64828.59,16578,0,2672,2,987,0,2,2672,987,0,0,52.0016666666667,88.1933333333333,7.48333333333333,2330.93,80.2983333333333,28.1066666666667,26.1183333333333,1.07833333333333,44.215,0.1,4.90666666666667,0,0
"https://www.hotnewhiphop.com/905664-air-jordan-11-low-bred-sneaker-news-9",2025-04-26,453,485,10320.55,39372.52,7318,0,24097,55,277,0,55,24097,277,0,0,54.602,85.586,7.93,3984.5,78.962,24.424,22.706,1.072,32.794,0.096,3.934,0,0
"https://www.hotnewhiphop.com/905668-air-jordan-4-rm-cannon-sneaker-news",2025-04-26,958,1032,18857.74,63890.14,31983,0,1944,0,1284,0,0,1944,1284,0,0,40.508,57.916,10.108,2207.45,52.664,18.572,16.852,1.102,67.376,0,3.814,0,0
"https://www.hotnewhiphop.com/905717-air-jordan-3-og-seoul-2-0-sneaker-news-3",2025-04-26,935,1024,22545.91,70999.55,21821,0,1313,10,929,0,10,1313,929,0,0,58.092,82.402,9.222,3853.42,74.832,23.5,21.32,1.102,37.968,0.704,4.45,0,0
"https://www.hotnewhiphop.com/905730-tom-sachs-x-nike-mars-yard-3-0-sneaker-news-3",2025-04-26,201,221,4530.31,16535.33,409,0,296,1,41,0,1,296,41,0,0,52.554,80.426,11.664,3338.26,76.096,18.62,17.28,1.068,45.942,0.25,10.474,0,0
"https://www.hotnewhiphop.com/905736-air-jordan-1-high-og-shattered-backboard-sneaker-news-3",2025-04-26,820,912,23804.89,76201.18,13010,0,2224,2,704,0,2,2224,704,0,0,58.012,73.058,15.97,5288.4,66.124,28.64,26,1.104,61.038,0.388,4.554,0,0
"https://www.hotnewhiphop.com/906169-eminem-air-jordan-3-slim-shady-pe-sneaker-news",2025-04-27,512,556,16413.45,41929.87,11313,0,12356,50,442,0,50,12356,442,0,0,56.5875,85.225,6.805,1089.37,78.6325,31.8325,29.4125,1.085,21.5275,0.49,3.5025,0,0
"https://www.hotnewhiphop.com/906174-justin-timberlake-x-nike-victory-tour-4-coffee-sneaker-news",2025-04-27,170,192,4267.71,8090.54,1729,0,5666,35,45,0,35,5666,45,0,0,54.0225,46.54,9.0825,926.3,40.7525,25.47,22.3375,1.1375,14.8325,0.745,3.05,0,0
"https://www.hotnewhiphop.com/906192-jordan-mvp-92-desert-camo-sneaker-news",2025-04-27,157,172,3390.36,9674.1,1420,0,1037,8,93,0,8,1037,93,0,0,54.6425,69.8,15.8025,759.25,62.84,20.6825,18.4525,1.1175,55.31,0.8375,7.2325,0,0
"https://www.hotnewhiphop.com/906199-jordan-heir-forget-me-not-sneaker-news",2025-04-27,555,621,12782.38,36141.06,12631,0,245,3,638,0,3,245,638,0,0,46.6325,65.385,13.7,1971.83,59.0575,21.2675,19.165,1.11,27.9,1.5725,6.41,0,0
"https://www.hotnewhiphop.com/906206-jordan-zion-4-daisy-flowers-sneaker-news",2025-04-27,57,66,936.25,4856.22,36,0,64,1,7,0,1,64,7,0,0,45.24,125.6225,21.1725,917.62,99.995,20.755,16.325,1.23,45.6525,0.9625,4.86,0,0
"https://www.hotnewhiphop.com/906214-jordan-cmft-era-shattered-backboard-sneaker-news",2025-04-27,813,897,19160.31,43193.05,19992,0,272,4,877,0,4,272,877,0,0,51.3575,49.7075,13.045,4534.3,44.2025,23.725,21.065,1.1325,39.4025,25.4275,5.325,0,0
"https://www.hotnewhiphop.com/906223-jordan-trunner-lx-light-orewood-brown-sneaker-news",2025-04-27,138,156,2656.06,8926.1,29,0,247,2,6,0,2,247,6,0,0,36.9875,59.5525,23.3575,2621.93,54.49,16.19,14.0425,1.13,34.25,1.725,5.1725,0,0
"https://www.hotnewhiphop.com/906230-air-jordan-1-mid-td-cleat-gold-toe-sneaker-news",2025-04-27,65,69,978.84,5494.15,33,0,1268,0,0,0,0,1268,0,0,0,25.6975,32.8125,11.2725,1258.54,30.83,9.415,9.095,0.77,50.565,0,0,0,0
"https://www.hotnewhiphop.com/906477-air-jordan-1-high-og-self-expression-sneaker-news-4",2025-04-28,739,810,17231.03,43073.58,12255,0,1992,3,683,0,3,1992,683,0,0,51.7866666666667,50.24,22.7433333333333,6116.28,46.3633333333333,20.5566666666667,18.9866666666667,1.08,63.2166666666667,0.0833333333333333,8.87,0,0
"https://www.hotnewhiphop.com/906481-travis-scott-x-jordan-jumpman-jack-bright-cactus-sneaker-news-4",2025-04-28,595,675,12577.17,51170.5,1028,0,14200,161,43,0,161,14200,43,0,0,56.81,90.9666666666667,22.3133333333333,9207.42,80.2233333333333,22.1233333333333,19.55,1.13,12.4733333333333,2.34333333333333,5.41333333333333,0,0
"https://www.hotnewhiphop.com/906527-jordan-spizike-low-obama-sneaker-news",2025-04-29,254,273,7628.59,19555.14,17,0,1379,97,2,0,97,1379,2,0,0,53.74,77.005,20.32,4763.72,71.88,30.065,28.16,1.075,11.845,5.01,5.88,0,0
"https://www.hotnewhiphop.com/906676-nike-air-foamposite-one-psychic-blue-sneaker-news-3",2025-04-29,708,765,15774.22,61803.63,4578,0,1592,10,551,0,10,1592,551,0,0,49.9,69.585,22.775,6704.24,64.045,20.92,19.175,1.095,11.855,0.735,14.4,0,0
"https://www.hotnewhiphop.com/906683-air-jordan-1-high-og-unc-reimagined-sneaker-news-14",2025-04-29,500,546,10259.9,43747.87,7295,0,3037,4,375,0,4,3037,375,0,0,45.645,91.955,21.39,5996.08,85.46,21.255,19.745,1.08,29.32,0.19,5.26,0,0
"https://www.hotnewhiphop.com/906691-jordan-tatum-3-blender-sneaker-news",2025-04-29,241,272,6611.62,15218.01,2452,0,403,0,179,0,0,403,179,0,0,50.12,59.01,19.42,3479.43,54.1,23.87,21.775,1.09,20.09,0,6.075,0,0
"https://www.hotnewhiphop.com/906698-air-jordan-1-brooklyn-low-light-madder-root-sneaker-news",2025-04-29,145,151,2358.62,11790.45,2701,0,890,0,39,0,0,890,39,0,0,38.145,61.17,34.255,3978.8,58.73,14.8,14.25,1.035,61.895,0,1.285,0,0
"https://www.hotnewhiphop.com/906708-air-jordan-3-jordan-brand-classic-pe-sneaker-news-2",2025-04-29,268,292,4847.71,10476.61,2483,0,586,3,129,0,3,586,129,0,0,44.59,47.745,29.275,5836.05,46.07,17.535,16.705,1.05,49.895,0.31,2.6,0,0
"https://www.hotnewhiphop.com/906712-ovo-x-jordan-11-samples-sneaker-news",2025-04-29,520,557,11002.54,38124.02,1069,0,672,4,123,0,4,672,123,0,0,48.965,70.97,30.07,16245.55,66.94,22.515,21.26,1.06,75.42,0.31,5.755,0,0
"https://www.hotnewhiphop.com/906716-tariffs-cost-of-jordans-sneaker-news",2025-04-30,1092,1199,30228.99,99565.45,217,0,696,9,9,0,9,696,9,0,0,48.45,91.18,38.19,45788.96,83.04,27.68,25.21,1.1,27.62,1.29,4.15,0,0
"https://www.hotnewhiphop.com/906766-air-jordans-dropping-may-sneaker-news",2025-04-30,1218,1362,62252.47,127018.42,14195,0,1208,2,1032,0,2,1208,1032,0,0,76.08,104.28,10.49,14294.02,93.26,51.11,45.71,1.12,33.13,0.17,7.27,0,0
"https://www.hotnewhiphop.com/906992-air-jordan-1-mid-fall-league-sneaker-news",2025-04-30,16,20,263.81,1649.52,110,0,149,0,5,0,0,149,5,0,0,46.26,103.1,49.69,993.72,82.48,16.49,13.19,1.25,39.25,0,4.55,0,0
